,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
turk,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,4.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frazānagsaxwan,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
barēnd,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,18.726
nibištag,0.0,1.7260001,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
ēgānagīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
nērangestān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
čahrušwadag,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dādīg,0.0,2.726,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frašnpursīdārīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
frāsiyāg,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,13.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
